2017,10491,-1,20412,0,1.0
2017,10491,-1,22416,0,1.0
2020,16391,-1,1000,1,1.6
2019,15891,0,1941,0,1.0
2017,10491,-1,13757,0,1.0
2015,7698,-1,32790,0,1.0
2014,6998,-1,42573,0,1.0
2017,10991,-1,24979,1,1.4
2016,9991,-1,27934,0,1.2
2016,9991,-1,36985,0,1.2
2016,12391,0,18978,0,1.2
2016,10491,-1,15724,0,1.0
2018,17650,0,13861,0,2.0
2015,8298,-1,29091,0,1.0
2018,12991,-1,13153,0,1.0
2016,8250,-1,47905,0,1.0
2015,7995,-1,28386,0,1.0
2016,7995,-1,57994,0,1.2
2016,8895,-1,50952,1,1.4
2017,9995,-1,40061,1,1.4
2018,13291,-1,13095,0,1.0
2017,9995,-1,22749,0,1.0
2018,10995,-1,5407,0,1.0
2019,19450,1,1000,0,1.0
2017,11750,0,27500,0,1.2
2015,9550,0,33000,0,1.2
2016,8495,-1,16551,0,1.0
2017,10291,-1,23160,0,1.0
2013,5491,-1,39873,0,1.2
2016,8495,-1,36204,0,1.0
2016,8995,-1,22352,0,1.0
2016,8495,-1,57876,0,1.2
2017,13498,-1,22370,0,1.8
2017,8498,-1,50564,0,1.0
2016,8995,-1,44042,0,1.2
2017,13495,-1,25757,0,1.8
2015,7800,-1,40809,0,1.2
2014,10295,1,34554,0,1.4
2019,13745,-1,7971,0,1.0
2014,6995,-1,51819,0,1.4
2019,12750,-1,9066,0,1.0
2015,7995,-1,21561,0,1.0
2015,7250,-1,59162,0,1.0
2016,8995,-1,29925,0,1.0
2016,8495,-1,25748,0,1.0
2016,8995,-1,29974,0,1.0
2016,9995,-1,28753,0,1.2
2014,7995,0,51000,0,1.2
2017,10495,0,43174,0,1.2
2016,7990,-1,45055,0,1.0
2016,8995,-1,45371,1,1.4
2016,7950,-1,48610,1,1.4
2017,12495,0,35276,0,1.4
2015,10750,-1,26811,0,1.4
2019,14695,-1,20964,0,1.0
2019,14775,-1,99,1,1.6
2018,12495,-1,18584,0,1.0
2018,14895,-1,5693,0,1.0
2017,11995,0,8260,0,1.2
2019,16495,0,7357,0,1.0
2017,12995,0,7479,0,1.2
2017,9795,-1,27868,1,1.4
2019,15591,0,6419,0,1.0
2017,9950,-1,17500,0,1.2
2019,13250,-1,14761,0,1.0
2016,9995,-1,20074,0,1.2
2016,9998,-1,11685,0,1.0
2019,12995,-1,11368,0,1.0
2017,7600,-1,36578,0,1.0
2016,12495,-1,15093,0,1.0
2017,10798,-1,13589,0,1.2
